experiment,algorithm,seed,independentVariable,submittedTasks,completedTasks,deadlineMetTasks,totalCost,dsr,act,cue,avgActiveVms,creditStarvationEvents,fallbackActiveVmSlots,runtimeMs
burst_sensitivity,BADP_PLUS,10001,1.1,3500,3498,3498,11.430239999999003,99.94285714285714,3.5903373356203545,62.88209606986899,4.964583333333334,0.0,7140.0,0.07277117794486215
burst_sensitivity,BADP_PLUS,10002,1.1,3500,3498,3498,11.521653333332326,99.94285714285714,3.0660377358490565,56.91699604743083,5.003472222222222,0.0,7198.0,0.07016055875102711
burst_sensitivity,BADP_PLUS,10003,1.1,3500,3499,3499,11.33930666666568,99.97142857142858,3.611603315232924,72.36180904522612,4.927083333333333,0.0,7081.0,0.05712854640980735
burst_sensitivity,BADP_PLUS,10004,1.1,3500,3474,3474,11.072053333332375,99.25714285714285,3.511226252158895,56.91699604743083,4.808333333333334,0.0,6917.0,0.08131912384161753
burst_sensitivity,BADP_PLUS,10005,1.1,3500,3498,3498,11.07434666666571,99.94285714285714,3.441395082904517,60.12526096033403,4.809722222222222,0.0,6918.0,0.042504222972972974
burst_sensitivity,BADP_PLUS,10006,1.1,3500,3500,3500,11.21925333333236,100.0,3.5548571428571427,56.91699604743083,4.872222222222222,0.0,7009.0,0.07413115752828546
burst_sensitivity,BADP_PLUS,10007,1.1,3500,3497,3497,11.107039999999039,99.91428571428571,3.4300829282241923,62.88209606986899,4.824305555555555,0.0,6938.0,0.0671324120603015
burst_sensitivity,BADP_PLUS,10008,1.1,3500,3496,3496,11.298133333332352,99.88571428571429,3.327803203661327,65.27651858567543,4.907638888888889,0.0,7057.0,0.05800708401976935
burst_sensitivity,BADP_PLUS,10009,1.1,3500,3500,3500,11.186133333332364,100.0,3.61,65.27651858567543,4.8590277777777775,0.0,6987.0,0.07057790893760539
burst_sensitivity,BADP_PLUS,10010,1.1,3500,3499,3499,11.380853333332341,99.97142857142858,3.2034867104887113,56.91699604743083,4.942361111111111,0.0,7110.0,0.08147892156862745
burst_sensitivity,BADP_PLUS,10011,1.1,3500,3466,3466,11.305439999999017,99.02857142857142,3.360357761107905,62.88209606986899,4.910416666666666,0.0,7062.0,0.06941738334858188
burst_sensitivity,BADP_PLUS,10012,1.1,3500,3499,3499,11.159359999999033,99.97142857142858,3.081451843383824,53.13653136531365,4.845833333333333,0.0,6972.0,0.06625541666666666
burst_sensitivity,BADP_PLUS,10013,1.1,3500,3497,3497,11.156693333332367,99.91428571428571,3.8598798970546184,74.90247074122237,4.848611111111111,0.0,6966.0,0.11106616399622997
burst_sensitivity,BADP_PLUS,10014,1.1,3500,3498,3498,11.072533333332377,99.94285714285714,3.3499142367066894,65.27651858567543,4.809722222222222,0.0,6916.0,0.07557320534223706
burst_sensitivity,BADP_PLUS,10015,1.1,3500,3500,3500,11.405546666665671,100.0,3.3994285714285715,60.12526096033403,4.9534722222222225,0.0,7125.0,0.06868901482127289
burst_sensitivity,BADP_PLUS,10016,1.1,3500,3499,3499,11.073439999999042,99.97142857142858,3.7302086310374394,62.88209606986899,4.809722222222222,0.0,6917.0,0.06463434599156119
burst_sensitivity,BADP_PLUS,10017,1.1,3500,3498,3498,10.984319999999054,99.94285714285714,3.8624928530588907,69.23076923076923,4.772222222222222,0.0,6860.0,0.08881048593350384
burst_sensitivity,BADP_PLUS,10018,1.1,3500,3469,3469,11.00783999999905,99.11428571428571,2.9927933121937156,62.88209606986899,4.78125,0.0,6876.0,0.08281358555460018
burst_sensitivity,BADP_PLUS,10019,1.1,3500,3500,3500,11.214239999999027,100.0,3.4097142857142857,62.88209606986899,4.870833333333334,0.0,7005.0,0.08950367054610564
burst_sensitivity,BADP_PLUS,10020,1.1,3500,3498,3498,11.092426666665705,99.94285714285714,3.9708404802744424,67.37558485750745,4.81875,0.0,6928.0,0.07649597257926306
