experiment,algorithm,seed,independentVariable,submittedTasks,completedTasks,deadlineMetTasks,totalCost,dsr,act,cue,avgActiveVms,creditStarvationEvents,fallbackActiveVmSlots,runtimeMs
cost_comparison,AMRP,10002,100.0,100,50,15,0.2207333333333333,15.0,57.2,99.68790914350089,6.083333333333333,1451.0,2.0,0.015364285714285712
cost_comparison,BADP,10000,100.0,100,93,93,0.2529333333333327,93.0,2.043010752688172,60.46468228048894,0.6666666666666666,0.0,157.0,0.333756338028169
cost_comparison,BADP,10001,100.0,100,90,90,0.2817333333333325,90.0,2.566666666666667,60.46468228048894,0.7416666666666667,0.0,175.0,0.02233709677419355
cost_comparison,BADP,10002,100.0,100,96,96,0.3048266666666657,96.0,2.4479166666666665,60.501538174699355,0.8041666666666667,1.0,189.0,0.01539857142857143
cost_comparison,BADP_PLUS,10000,100.0,100,93,93,0.2529333333333327,93.0,2.043010752688172,60.46468228048894,0.6666666666666666,0.0,157.0,0.43086338028169013
cost_comparison,BADP_PLUS,10001,100.0,100,90,90,0.2817333333333325,90.0,2.566666666666667,60.46468228048894,0.7416666666666667,0.0,175.0,0.025951612903225806
cost_comparison,BADP_PLUS,10002,100.0,100,96,96,0.30573333333333236,96.0,2.4375,60.46468228048894,0.8041666666666667,0.0,190.0,0.02902
cost_comparison,CDASCALER,10000,100.0,100,41,9,0.19465333333333334,9.0,63.41463414634146,54.394561201092436,5.85,1397.0,0.0,0.16005774647887325
cost_comparison,CDASCALER,10001,100.0,100,46,22,0.21016000000000018,22.0,55.91304347826087,99.69839877166045,6.004166666666666,1427.0,2.0,0.1293806451612903
cost_comparison,CDASCALER,10002,100.0,100,50,16,0.2207333333333333,16.0,55.58,32.66374021050531,6.083333333333333,1451.0,2.0,0.017208571428571427
cost_comparison,CEDULE,10000,100.0,100,93,93,0.2303999999999995,93.0,2.827956989247312,0.0,0.6,0.0,144.0,0.2690295774647887
cost_comparison,CEDULE,10001,100.0,100,90,90,0.25759999999999933,90.0,4.122222222222222,0.0,0.6708333333333333,0.0,161.0,0.029127419354838712
cost_comparison,CEDULE,10002,100.0,100,96,96,0.27199999999999924,96.0,3.7604166666666665,0.0,0.7083333333333334,0.0,170.0,0.019875714285714285
cost_comparison,CEMA,10000,100.0,100,41,13,0.1779199999999996,13.0,61.048780487804876,99.68778383287919,5.329166666666667,1275.0,2.0,0.46236197183098593
cost_comparison,CEMA,10001,100.0,100,39,15,0.18450666666666612,15.0,50.38461538461539,99.69001277523108,5.354166666666667,1280.0,2.0,0.0652741935483871
